CY,patient_zip,Cases,,
2021,61537,*,,
2020,61540,*,,
2020,61542,*,,
2021,61542,*,,
2021,61545,*,,
2021,61546,*,,
2020,61547,*,,
2020,61548,11,,
2021,61548,*,,
2020,61550,*,,
2021,61550,*,,
2020,61554,76,,
2021,61554,66,,
2020,61555,*,,
2020,61559,*,,
2020,61560,*,,
2021,61560,*,,
2021,61561,*,,
2020,61564,*,,
2021,61564,*,,
2020,61565,*,,
2021,61565,*,,
2021,61567,*,,
2020,61568,*,,
2021,61568,*,,
2021,61569,*,,
2020,61570,*,,
2021,61570,*,,
2020,61571,16,,
2021,61571,10,,
2020,61572,*,,
2021,61572,*,,
2020,61601,*,,
2021,61601,*,,
2020,61602,*,,
2021,61602,*,,
2020,61603,63,,
2021,61603,30,,
2020,61604,61,,
2021,61604,40,,
2020,61605,46,,
2021,61605,30,,
2020,61606,*,,
2021,61606,*,,
2020,61607,10,,
2021,61607,10,,
2020,61610,*,,
2021,61610,*,,
2020,61611,26,,
2021,61611,32,,
2020,61614,23,,
2021,61614,23,,
2020,61615,10,,
2021,61615,13,,
2020,61616,15,,
2021,61616,*,,
2020,61636,*,,
2021,61636,*,,
2020,61650,*,,
2020,61701,49,,
2021,61701,34,,
2020,61704,18,,
2021,61704,13,,
2020,61705,*,,
2021,61705,*,,
2020,61721,*,,
2020,61723,*,,
2020,61726,*,,
2020,61727,15,,
2021,61727,11,,
2020,61732,*,,
2021,61732,*,,
2020,61734,*,,
2021,61734,*,,
2020,61735,*,,
2020,61736,*,,
2021,61737,*,,
2021,61738,*,,
2020,61739,*,,
2021,61739,*,,
2020,61740,*,,
2020,61741,*,,
2021,61741,*,,
2021,61744,*,,
2020,61745,*,,
2020,61753,*,,
2021,61753,*,,
2020,61755,*,,
2021,61755,*,,
2021,61759,*,,
2021,61760,*,,
2020,61761,34,,
2021,61761,14,,
2020,61764,16,,
2021,61764,21,,
2021,61769,*,,
2021,61770,*,,
2020,61771,*,,
2020,61801,31,,
2021,61801,25,,
2020,61802,25,,
2021,61802,17,,
2021,61803,*,,
2020,61811,*,,
2021,61811,*,,
2020,61813,*,,
2021,61813,*,,
2020,61814,*,,
2021,61814,*,,
2021,61817,*,,
2020,61820,44,,
2021,61820,48,,
2020,61821,46,,
2021,61821,54,,
2020,61822,13,,
2021,61822,23,,
2020,61824,*,,
2021,61824,*,,
2020,61830,*,,
2020,61832,87,,
2021,61832,74,,
2020,61833,*,,
2021,61833,*,,
2020,61834,*,,
2021,61834,*,,
2020,61839,*,,
2021,61839,*,,
2020,61840,*,,
2021,61841,*,,
2020,61842,*,,
2021,61842,*,,
2020,61846,*,,
2021,61846,*,,
2020,61848,*,,
2020,61852,*,,
2021,61852,*,,
2020,61853,*,,
2021,61853,*,,
2020,61854,*,,
2020,61855,*,,
2021,61855,*,,
2020,61856,*,,
2021,61856,*,,
2021,61858,*,,
2020,61859,*,,
2020,61865,*,,
2021,61865,*,,
2020,61866,18,,
2021,61866,21,,
2020,61870,*,,
2021,61871,*,,
2020,61872,*,,
2021,61872,*,,
2020,61873,*,,
2021,61873,*,,
2020,61874,*,,
2021,61874,*,,
2021,61876,*,,
2020,61878,*,,
2021,61878,*,,
2020,61880,*,,
2021,61880,*,,
2020,61883,*,,
2021,61883,*,,
2020,61884,*,,
2020,61910,*,,
2021,61910,*,,
2020,61911,*,,
2021,61911,*,,
2021,61912,*,,
2020,61913,*,,
2021,61913,*,,
2020,61919,*,,
2020,61920,48,,
2021,61920,24,,
2020,61924,*,,
2020,61929,*,,
2021,61929,*,,
2020,61931,*,,
2021,61932,*,,
2021,61937,*,,
2020,61938,31,,
2021,61938,26,,
2020,61942,*,,
2021,61942,*,,
2020,61943,*,,
2021,61943,*,,
2020,61944,12,,
2021,61944,10,,
2020,61951,*,,
2021,61951,*,,
2020,61953,*,,
2020,61956,*,,
2020,61957,*,,
2020,62001,*,,
2021,62001,*,,
2020,62002,64,,
2021,62002,57,,
2020,62009,*,,
2021,62009,*,,
2020,62010,13,,
2021,62010,11,,
2020,62012,*,,
2021,62012,*,,
2020,62013,*,,
2021,62013,*,,
2020,62014,*,,
2021,62014,*,,
2020,62016,*,,
2021,62016,*,,
2020,62018,21,,
2021,62018,*,,
2021,62019,*,,
2020,62021,*,,
2021,62022,*,,
2020,62024,33,,
2021,62024,22,,
2020,62025,24,,
2021,62025,12,,
2020,62027,*,,
2021,62027,*,,
2020,62028,*,,
2021,62028,*,,
2020,62033,*,,
2021,62033,*,,
2020,62034,*,,
2021,62034,*,,
